请检查网络连接后重试	Check your network connection and retry
网络连接不可用	Network unavailable
应用配置目录	App config directory
编辑器临时文件	Editor temp files
初始化 RAG 设置失败:	RAG Failed — translated from Chinese
重置 RAG 设置失败	RAG Failed — translated from Chinese
更新 RAG 设置 ${key} 失败:	Update RAG ${key} Failed — translated from Chinese
记录写作活动失败:	Failed — translated from Chinese
新建文件-${new Date().getTime()}.md	File-${new Date().getTime()}.md — translated from Chinese
当前浏览器不支持语音识别功能，请使用 Chrome、Edge 或 Safari	， Chrome、Edge Safari — translated from Chinese
启动识别失败:	Failed — translated from Chinese
启动语音识别失败:	Failed — translated from Chinese
当前环境不支持麦克风录音，请检查 Android WebView 或应用权限配置	， Android WebView — translated from Chinese
启动录音失败:	Failed — translated from Chinese
麦克风权限被拒绝，请在系统设置中允许 NoteLoom 访问麦克风	， NoteLoom — translated from Chinese
未检测到麦克风设备，请连接麦克风后重试	， — translated from Chinese
麦克风正在被其他应用使用，请关闭其他应用后重试	， — translated from Chinese
无法启动录音，请检查麦克风设备和权限设置	None ， — translated from Chinese
向量数据库	Vector database
初始化向量数据库失败:	Vector databaseFailed — translated from Chinese
开始处理文档向量，这可能需要一些时间...	Vector， ... — translated from Chinese
向量处理中	Processing vectors
向量处理完成（部分失败）	Vector processing complete（ Failed） — translated from Chinese
向量处理完成	Vector processing complete
处理文档向量失败:	VectorFailed — translated from Chinese
恢复原有知识库索引失败:	Failed — translated from Chinese
向量处理失败	Vector processing failed
处理文档向量时发生错误，请查看控制台日志	Vector Error， — translated from Chinese
检查嵌入模型失败:	Embed Failed — translated from Chinese
检查重排序模型失败:	Failed — translated from Chinese
读取知识库索引统计失败:	Failed — translated from Chinese
已处理 ${current}/${total}：${fileName}	${current}/${total}：${fileName} — translated from Chinese
成功处理 ${result.success} 个文档	${result.success} — translated from Chinese
，失败 ${result.failed} 个文档	，Failed ${result.failed} — translated from Chinese
\n失败文件: ${failedSample}${result.failedFiles.length > 3 ? ' 等' : ''}	\nFailedFile: ${failedSample}${result.failedFiles.length > 3 ? ' etc.' : ''}
处理文档 ${filePath} 向量失败:	${filePath} VectorFailed — translated from Chinese
模糊搜索出错:	Translated message
并行模糊搜索出错:	Translated message

    <div style="color: #b91c1c; padding: 10px; border: 1px solid #b91c1c; background: rgba(185, 28, 28, 0.08);">
      Infographic 渲染失败: ${message}
    </div>
  	<div style="color: #b91c1c; padding: 10px; border: 1px solid #b91c1c; background: rgba(185, 28, 28, 0.08);"> Infographic Failed: ${message} </div> — translated from Chinese
路径不能为空	Path cannot be empty
不允许使用绝对路径	Absolute paths are not allowed
路径不能包含 ..	Path cannot contain ..
当前浏览器不支持语音合成功能	Translated message
未配置音频模型	Translated message
未找到音频模型配置	Translated message
音频模型配置不完整	Translated message
音频生成错误:	Error — translated from Chinese
音频上下文已被销毁	Translated message
当前朗读模式不可用，请检查本地语音支持或模型配置	， Local — translated from Chinese
未配置语音识别模型	Translated message
未找到语音识别模型配置	Translated message
语音识别模型配置不完整	Translated message
音频解码失败: ${error}	Failed: ${error} — translated from Chinese
音频播放失败: ${error}	Failed: ${error} — translated from Chinese
音频转换失败:	Failed — translated from Chinese
初始化 BM25 索引失败:	BM25 Failed — translated from Chinese
大语言模型	Language — translated from Chinese
检索增强生成	Translated message
BM25 索引未初始化，跳过 BM25 搜索	BM25 ， BM25 — translated from Chinese
处理工作区Markdown文件失败	MarkdownFileFailed — translated from Chinese
收集Markdown内容失败:	Markdown Failed — translated from Chinese
获取查询上下文失败	Failed — translated from Chinese
测试嵌入模型	Test embedding model
嵌入模型检查失败	Embed Failed — translated from Chinese
向量数据库更新	Vector database update
收集文件夹Markdown内容失败:	FolderMarkdown Failed — translated from Chinese
获取文件夹查询上下文失败	Folder Failed — translated from Chinese
 : tableLines.join('\n'),
        atomic: true
      });
      continue;
    }

    if (!line.trim()) {
      pushParagraph();
    } else {
      paragraph.push(line);
    }
  }
  pushParagraph();
  return blocks;
}

/**
 * Markdown 结构化分块：保留标题上下文，并避免从代码块和表格中间截断。
 */
export function chunkText(
  text: string, 
  chunkSize: number = 1000,
  chunkOverlap: number = 200
): string[] {
  if (!text.trim()) return [];
  if (text.length <= chunkSize) return [text.trim()];

  const blocks = parseMarkdownBlocks(text, chunkSize);
  const chunks: string[] = [];
  let currentBlocks: string[] = [];
  let currentLength = 0;

  const flush = () => {
    if (currentBlocks.length === 0) return;
    chunks.push(currentBlocks.join('\n\n').trim());
    const overlapBlocks: string[] = [];
    let overlapLength = 0;
    for (let index = currentBlocks.length - 1; index >= 0; index--) {
      const block = currentBlocks[index];
      if (overlapLength + block.length > chunkOverlap) break;
      overlapBlocks.unshift(block);
      overlapLength += block.length;
    }
    currentBlocks = overlapBlocks;
    currentLength = overlapBlocks.reduce((total, block) => total + block.length + 2, 0);
  };

  for (const block of blocks) {
    if (currentBlocks.length > 0 && currentLength + block.content.length + 2 > chunkSize) {
      flush();
    }
    if (block.atomic && block.content.length > chunkSize) {
      flush();
      chunks.push(block.content.trim());
      currentBlocks = [];
      currentLength = 0;
    } else {
      currentBlocks.push(block.content);
      currentLength += block.content.length + 2;
    }
  }
  flush();
  return chunks.filter(Boolean);
}

/**
 * 初始化 BM25 索引
 * 从工作区的 Markdown 文件构建 BM25 索引
 */
export async function initBM25Search(): Promise<void> {
  try {
    const items = await collectMarkdownContents();
    const store = await Store.load('store.json');
    const chunkSize = await store.get<number>('ragChunkSize');
    const chunkOverlap = await store.get<number>('ragChunkOverlap');
    const documents: BM25Document[] = items.flatMap(item => {
      const filename = getVectorDocumentKey(item.id || item.title || 'unknown');
      return chunkText(item.article || '', chunkSize, chunkOverlap)
        .filter(content => content.trim().length > 0)
        .map((content, chunkId) => ({
          id: createBM25ChunkKey(filename, chunkId),
          content
        }));
    });

    initBM25Index(documents);
  } catch (error) {
    console.error('初始化 BM25 索引失败:', error);
  }
}

/**
 * 常用虚词/停用词列表
 * 这些词在搜索时应该被过滤或降权，因为它们在文档中出现频率过高
 */
const STOP_WORDS = new Set([
  // 中文虚词
  '的', '了', '是', '在', '有', '和', '就', '不', '人', '都', '一', '一个',
  '上', '也', '很', '到', '说', '要', '去', '你', '会', '着', '没有', '看',
  '好', '自己', '这', '那', '里', '就是', '为', '与', '之', '用', '可以',
  '但', '而', '或', '及', '等', '对', '把', '被', '让', '给', '从', '向',

  // 英文停用词
  'the', 'a', 'an', 'and', 'or', 'but', 'in', 'on', 'at', 'to', 'for',
  'of', 'with', 'by', 'from', 'as', 'is', 'was', 'are', 'were', 'been',
  'be', 'have', 'has', 'had', 'do', 'does', 'did', 'will', 'would', 'could',
  'should', 'may', 'might', 'must', 'can', 'this', 'that', 'these', 'those'
]);

/**
 * 同义词词典
 * 用于查询转换优化，生成查询变体
 */
const SYNONYM_DICT: Record<string, string[]> = {
  // AI/技术术语
  'ai': ['人工智能', 'artificial intelligence', '机器学习', 'ml'],
  'llm': ['大语言模型', 'large language model', '语言模型'],
  'rag': ['检索增强生成', 'retrieval augmented generation'],
  'agent': ['智能体', '代理', '助手'],
  'embedding': ['嵌入', '向量', '向量化'],
  'vector': ['向量', '矢量'],
  'prompt': ['提示词', '提示', '指令'],

  // 通用同义词
  '如何': ['怎么', '怎样', '如何做', '方法'],
  '怎么': ['如何', '怎样', '怎么操作'],
  '怎样': ['如何', '怎么', '怎样做'],
  '是什么': ['定义', '解释', '含义', '概念'],
  '为什么': ['原因', '为何', '理由'],
  '做什么': ['干什么', '做什么用', '作用'],
  '使用': ['应用', '运用', '采用', '利用'],
  '创建': ['建立', '新建', '生成', '构建'],
  '获取': ['得到', '获得', '取得'],
  '设置': ['配置', '设定', '修改'],
  '问题': ['疑问', '困难', '难题'],
  '解决': ['处理', '修复', '解答'],
};

/**
 * 检查关键词是否为停用词
 */
function isStopWord(keyword: string): boolean {
  const cleanKeyword = keyword.trim().toLowerCase();
  return STOP_WORDS.has(cleanKeyword);
}

/**
 * 查询转换接口
 */
interface QueryVariant {
  original: string;  // 原始查询
  transformed: string; // 转换后的查询
  source: 'original' | 'synonym';
}

/**
 * 基于同义词词典扩展查询
 * @param query 原始查询
 * @param maxVariants 最大变体数量
 * @returns 查询变体列表
 */
function expandWithSynonyms(query: string, maxVariants: number = 3): QueryVariant[] {
  const variants: QueryVariant[] = [
    { original: query, transformed: query, source: 'original' }
  ];

  // 检查查询中的每个词是否在同义词词典中
  const queryLower = query.toLowerCase();
  const words = queryLower.split(/\s+/);

  for (const word of words) {
    // 移除标点符号
    const cleanWord = word.replace(/[^\w\u4e00-\u9fa5]/g, '');

    if (SYNONYM_DICT[cleanWord]) {
      const synonyms = SYNONYM_DICT[cleanWord];

      // 为每个同义词生成变体
      for (const synonym of synonyms) {
        if (variants.length >= maxVariants) break;

        const transformed = queryLower.replace(new RegExp(cleanWord, 'gi'), synonym);

        // 避免重复
        if (!variants.some(v => v.transformed === transformed)) {
          variants.push({
            original: query,
            transformed,
            source: 'synonym'
          });
        }
      }
    }

    if (variants.length >= maxVariants) break;
  }

  return variants;
}

/**
 * 转换查询（生成多个变体）
 * @param keywords 原始关键词列表
 * @param enableExpansion 是否启用查询扩展
 * @param maxVariants 每个关键词的最大变体数量
 * @returns 扩展后的关键词列表
 */
function transformQueries(
  keywords: Keyword[],
  enableExpansion: boolean,
  maxVariants: number
): Keyword[] {
  if (!enableExpansion) {
    return keywords;
  }

  const expandedKeywords: Keyword[] = [];

  for (const keyword of keywords) {
    // 生成查询变体
    const variants = expandWithSynonyms(keyword.text, maxVariants);

    // 将变体添加到关键词列表
    for (const variant of variants) {
      // 避免重复
      if (!expandedKeywords.some(k => k.text === variant.transformed)) {
        expandedKeywords.push({
          text: variant.transformed,
          weight: keyword.weight // 保持原始权重
        });
      }
    }
  }

  return expandedKeywords;
}

function normalizeKeywordWeights(keywords: Keyword[]): Keyword[] {
  const maxWeight = keywords.reduce((maximum, keyword) => (
    Math.max(maximum, Number.isFinite(keyword.weight) ? Math.max(0, keyword.weight) : 0)
  ), 0);
  return keywords.map(keyword => ({
    ...keyword,
    weight: maxWeight > 0
      ? Math.min(1, Math.max(0, keyword.weight) / maxWeight)
      : 1
  }));
}

/**
 * 扩展检索结果的句子窗口
 * 为每个匹配的 chunk 获取同一文件中相邻的 chunk，提供更完整的上下文
 *
 * @param results 原始检索结果
 * @param windowSize 窗口大小（前后各取 N 个 chunk）
 * @returns 扩展后的检索结果
 */
async function expandWithSentenceWindow(
  results: Array<{ id: number; filename: string; content: string; similarity?: number }>,
  windowSize: number = 2
): Promise<Array<{ id: number; filename: string; content: string; similarity?: number }>> {
  // 按文件分组结果
  const resultsByFile = new Map<string, typeof results>();
  for (const result of results) {
    if (!resultsByFile.has(result.filename)) {
      resultsByFile.set(result.filename, []);
    }
    resultsByFile.get(result.filename)!.push(result);
  }

  const expandedResults: typeof results = [];

  // 对每个文件的结果进行扩展
  for (const [filename, fileResults] of resultsByFile.entries()) {
    try {
      // 获取该文件的所有向量文档（按 chunk_id 排序）
      const allChunks = await getVectorDocumentsByFilename(filename);

      // 创建 chunk_id 到文档的映射
      const chunkMap = new Map<number, VectorDocument>();
      for (const chunk of allChunks) {
        chunkMap.set(chunk.chunk_id, chunk);
      }

      // 对每个结果进行窗口扩展
      for (const result of fileResults) {
        // 找到该结果对应的 chunk_id
        let centerChunkId: number | undefined;

        // 通过内容匹配找到 chunk_id
        for (const [chunkId, chunk] of chunkMap.entries()) {
          if (chunk.content === result.content) {
            centerChunkId = chunkId;
            break;
          }
        }

        if (centerChunkId === undefined) {
          // 如果找不到对应的 chunk，直接添加原结果
          expandedResults.push(result);
          continue;
        }

        // 获取窗口内的相邻 chunk
        const windowContents: string[] = [];
        for (let i = centerChunkId - windowSize; i <= centerChunkId + windowSize; i++) {
          const chunk = chunkMap.get(i);
          if (chunk) {
            windowContents.push(chunk.content);
          }
        }

        // 合并窗口内容
        const expandedContent = windowContents.join('\n\n---\n\n');

        expandedResults.push({
          ...result,
          content: expandedContent
        });
      }
    } catch (error) {
      console.error(	tableLines.join('\n'), atomic: true }); continue; } if (!line.trim()) { pushParagraph(); } else { paragraph.push(line); } } pushParagraph(); return blocks; } /** * Markdown ： Title ， Code block Table 。 */ export function chunkText( text: string, chunkSize: number = 1000, chunkOverlap: number = 200 ): string[] { if (!text.trim()) return []; if (text.length <= chunkSize) return [text.trim()]; const blocks = parseMarkdownBlocks(text, chunkSize); const chunks: string[] = []; let currentBlocks: string[] = []; let currentLength = 0; const flush = () => { if (currentBlocks.length === 0) return; chunks.push(currentBlocks.join('\n\n').trim()); const overlapBlocks: string[] = []; let overlapLength = 0; for (let index = currentBlocks.length - 1; index >= 0; index--) { const block = currentBlocks[index]; if (overlapLength + block.length > chunkOverlap) break; overlapBlocks.unshift(block); overlapLength += block.length; } currentBlocks = overlapBlocks; currentLength = overlapBlocks.reduce((total, block) => total + block.length + 2, 0); }; for (const block of blocks) { if (currentBlocks.length > 0 && currentLength + block.content.length + 2 > chunkSize) { flush(); } if (block.atomic && block.content.length > chunkSize) { flush(); chunks.push(block.content.trim()); currentBlocks = []; currentLength = 0; } else { currentBlocks.push(block.content); currentLength += block.content.length + 2; } } flush(); return chunks.filter(Boolean); } /** * BM25 * Markdown File BM25 */ export async function initBM25Search(): Promise<void> { try { const items = await collectMarkdownContents(); const store = await Store.load('store.json'); const chunkSize = await store.get<number>('ragChunkSize'); const chunkOverlap = await store.get<number>('ragChunkOverlap'); const documents: BM25Document[] = items.flatMap(item => { const filename = getVectorDocumentKey(item.id || item.title || 'unknown'); return chunkText(item.article || '', chunkSize, chunkOverlap) .filter(content => content.trim().length > 0) .map((content, chunkId) => ({ id: createBM25ChunkKey(filename, chunkId), content })); }); initBM25Index(documents); } catch (error) { console.error(' BM25 Failed:', error); } } /** * / List * ， */ const STOP_WORDS = new Set([ // Chinese ' ', ' ', 'Yes', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' Yes', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', // English 'the', 'a', 'an', 'and', 'or', 'but', 'in', 'on', 'at', 'to', 'for', 'of', 'with', 'by', 'from', 'as', 'is', 'was', 'are', 'were', 'been', 'be', 'have', 'has', 'had', 'do', 'does', 'did', 'will', 'would', 'could', 'should', 'may', 'might', 'must', 'can', 'this', 'that', 'these', 'those' ]); /** * * ， */ const SYNONYM_DICT: Record<string, string[]> = { // AI/ 'ai': [' ', 'artificial intelligence', ' ', 'ml'], 'llm': [' Language ', 'large language model', 'Language '], 'rag': [' ', 'retrieval augmented generation'], 'agent': ['Agent', ' ', ' '], 'embedding': ['Embed', 'Vector', 'Vector '], 'vector': ['Vector', ' '], 'prompt': [' ', ' ', ' '], // ' ': [' ', ' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' '], 'Yes ': [' ', ' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' ', ' '], ' ': [' ', ' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' '], ' ': [' ', ' ', ' '], }; /** * Yes */ function isStopWord(keyword: string): boolean { const cleanKeyword = keyword.trim().toLowerCase(); return STOP_WORDS.has(cleanKeyword); } /** * */ interface QueryVariant { original: string; // transformed: string; // source: 'original' | 'synonym'; } /** * * @param query * @param maxVariants * @returns List */ function expandWithSynonyms(query: string, maxVariants: number = 3): QueryVariant[] { const variants: QueryVariant[] = [ { original: query, transformed: query, source: 'original' } ]; // Yes const queryLower = query.toLowerCase(); const words = queryLower.split(/\s+/); for (const word of words) { // const cleanWord = word.replace(/[^\w\u4e00-\u9fa5]/g, ''); if (SYNONYM_DICT[cleanWord]) { const synonyms = SYNONYM_DICT[cleanWord]; // for (const synonym of synonyms) { if (variants.length >= maxVariants) break; const transformed = queryLower.replace(new RegExp(cleanWord, 'gi'), synonym); // if (!variants.some(v => v.transformed === transformed)) { variants.push({ original: query, transformed, source: 'synonym' }); } } } if (variants.length >= maxVariants) break; } return variants; } /** * （ ） * @param keywords List * @param enableExpansion Yes * @param maxVariants * @returns List */ function transformQueries( keywords: Keyword[], enableExpansion: boolean, maxVariants: number ): Keyword[] { if (!enableExpansion) { return keywords; } const expandedKeywords: Keyword[] = []; for (const keyword of keywords) { // const variants = expandWithSynonyms(keyword.text, maxVariants); // List for (const variant of variants) { // if (!expandedKeywords.some(k => k.text === variant.transformed)) { expandedKeywords.push({ text: variant.transformed, weight: keyword.weight // }); } } } return expandedKeywords; } function normalizeKeywordWeights(keywords: Keyword[]): Keyword[] { const maxWeight = keywords.reduce((maximum, keyword) => ( Math.max(maximum, Number.isFinite(keyword.weight) ? Math.max(0, keyword.weight) : 0) ), 0); return keywords.map(keyword => ({ ...keyword, weight: maxWeight > 0 ? Math.min(1, Math.max(0, keyword.weight) / maxWeight) : 1 })); } /** * * chunk File chunk， * * @param results * @param windowSize （ N chunk） * @returns */ async function expandWithSentenceWindow( results: Array<{ id: number; filename: string; content: string; similarity?: number }>, windowSize: number = 2 ): Promise<Array<{ id: number; filename: string; content: string; similarity?: number }>> { // File const resultsByFile = new Map<string, typeof results>(); for (const result of results) { if (!resultsByFile.has(result.filename)) { resultsByFile.set(result.filename, []); } resultsByFile.get(result.filename)!.push(result); } const expandedResults: typeof results = []; // File for (const [filename, fileResults] of resultsByFile.entries()) { try { // File Vector （ chunk_id ） const allChunks = await getVectorDocumentsByFilename(filename); // chunk_id const chunkMap = new Map<number, VectorDocument>(); for (const chunk of allChunks) { chunkMap.set(chunk.chunk_id, chunk); } // for (const result of fileResults) { // chunk_id let centerChunkId: number | undefined; // chunk_id for (const [chunkId, chunk] of chunkMap.entries()) { if (chunk.content === result.content) { centerChunkId = chunkId; break; } } if (centerChunkId === undefined) { // chunk， expandedResults.push(result); continue; } // chunk const windowContents: string[] = []; for (let i = centerChunkId - windowSize; i <= centerChunkId + windowSize; i++) { const chunk = chunkMap.get(i); if (chunk) { windowContents.push(chunk.content); } } // const expandedContent = windowContents.join('\n\n---\n\n'); expandedResults.push({ ...result, content: expandedContent }); } } catch (error) { console.error( — translated from Chinese
, error);
      // 失败时保留原结果
      expandedResults.push(...fileResults);
    }
  }

  return expandedResults;
}

/**
 * BM25 搜索辅助函数
 * @param query 查询文本
 * @param limit 返回结果数量
 * @returns BM25 检索结果
 */
async function searchWithBM25(query: string, limit: number = 10): Promise<Array<{id: string, score: number, content: string}>> {
  const index = getBM25Index();
  if (!index) {
    console.warn('BM25 索引未初始化，跳过 BM25 搜索');
    return [];
  }

  return index.search(query, limit).flatMap(result => {
    const content = index.getDocument(result.id);
    return content === undefined ? [] : [{ ...result, content }];
  });
}

/**
 * 处理单个Markdown文件，计算向量并存储到数据库
 */
export async function processMarkdownFile(
  filePath: string,
  fileContent?: string
): Promise<boolean> {
  try {
    // 检查文件是否在 skills 文件夹下，如果是则跳过处理
    const pathParts = filePath.split('/');
    if (pathParts.some(part => isSkillsFolder(part))) {
      return false;
    }

    const workspace = await getWorkspacePath()
    let content = ''
    if (workspace.isCustom) {
      content = fileContent || await readTextFile(filePath)
    } else {
      const { path, baseDir } = await getFilePathOptions(filePath)
      content = fileContent || await readTextFile(path, { baseDir })
    }
    const vectorDocumentKey = getVectorDocumentKey(filePath);
    const legacyFilename = filePath.split('/').pop() || filePath;
    // 空文件也视为成功处理，同时清理它可能遗留的旧索引。
    if (!content || content.trim().length === 0) {
      await deleteVectorDocumentsByFilename(vectorDocumentKey);
      if (legacyFilename !== vectorDocumentKey) {
        await deleteVectorDocumentsByFilename(legacyFilename);
      }
      return true;
    }

    const store = await Store.load('store.json')
    const chunkSize = await store.get<number>('ragChunkSize');
    const chunkOverlap = await store.get<number>('ragChunkOverlap');
    const chunks = chunkText(content, chunkSize, chunkOverlap).filter(chunk => chunk.trim().length > 0);
    // 没有有效分块时清理旧索引，避免空内容仍被检索到。
    if (chunks.length === 0) {
      await deleteVectorDocumentsByFilename(vectorDocumentKey);
      if (legacyFilename !== vectorDocumentKey) {
        await deleteVectorDocumentsByFilename(legacyFilename);
      }
      return true;
    }
    const scope = await resolveRetrievalScope({}, store);
    if (!isPathAllowedForRag(vectorDocumentKey, scope)) {
      await deleteVectorDocumentsByFilename(vectorDocumentKey);
      if (legacyFilename !== vectorDocumentKey) {
        await deleteVectorDocumentsByFilename(legacyFilename);
      }
      return true;
    }

    const existingDocuments = await getVectorDocumentsByFilename(vectorDocumentKey);
    const existingChunks = existingDocuments
      .sort((a, b) => a.chunk_id - b.chunk_id)
      .map(document => document.content);
    if (
      existingChunks.length === chunks.length
      && generateContentHash(existingChunks.join('\u0000')) === generateContentHash(chunks.join('\u0000'))
    ) {
      getBM25Index()?.replaceByFilename(vectorDocumentKey, chunks);
      return true;
    }

    const embeddings: Array<number[] | null> = [];
    const embeddingBatchSize = 16;
    for (let offset = 0; offset < chunks.length; offset += embeddingBatchSize) {
      embeddings.push(...await fetchEmbeddings(chunks.slice(offset, offset + embeddingBatchSize)));
    }
    if (embeddings.length !== chunks.length || embeddings.some(embedding => !embedding)) {
